user_id,timestamp,key,mapped_to,event,filename,mapping_type
3,2024-10-03 14:58:42,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:59:37,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:59:37,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:59:37,input_3,,mapping,003_20241003_142416_key_events.csv,none
3,2024-10-03 15:17:38,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:17:38,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:38,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:58,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:17:58,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:58,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:44:55,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:44:55,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:44:55,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:45:57,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:45:57,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:45:57,input_3,Alt+Right,mapping,003_20241003_142416_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_3,,mapping,004_20241007_093710_key_events.csv,none
4,2024-10-07 10:33:05,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 10:33:05,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 10:33:05,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_2,Ctrl+k+Ctrl+c,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_3,Ctrl+k+Ctrl,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_3,Ctrl+k+Ctrl+u,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_3,Ctrl+k+Ctrl+u,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_1,Ctrl+f,mapping,004_20241010_095829_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_2,Ctrl+k+Ctrl+c,mapping,004_20241010_095829_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_3,Ctrl+k+Ctrl+u,mapping,004_20241010_095829_key_events.csv,shortcut
5,2024-10-07 09:32:43,input_1,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 09:32:43,input_2,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 09:32:43,input_3,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_1,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_2,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_3,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:44:12,input_1,playpause,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 11:44:12,input_2,nexttrack,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 11:44:12,input_3,Enter,mapping,005_20241007_093148_key_events.csv,keyboard_key
5,2024-10-07 19:07:22,input_1,playpause,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 19:07:22,input_2,nexttrack,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 19:07:22,input_3,Enter,mapping,005_20241007_093148_key_events.csv,keyboard_key
5,2024-10-08 09:14:08,input_1,playpause,mapping,005_20241008_091404_key_events.csv,media_key
5,2024-10-08 09:14:08,input_2,nexttrack,mapping,005_20241008_091404_key_events.csv,media_key
